day,max,min,year
"Thu 3/2,Thu 3/9,Thu 3/16,Thu 3/23,Thu 3/30","35,33,35,38,40","15,13,16,18,24",March 2017 
"Fri 3/3,Fri 3/10,Fri 3/17,Fri 3/24,Fri 3/31","35,29,36,38,40","16,12,15,18,22",March 2017 
"Sat 3/4,Sat 3/11,Sat 3/18,Sat 3/25,Sat 4/1","35,30,36,38,38","13,14,16,20,26",March 2017 
"Sun 3/26,Sun 4/2,Sun 4/9,Sun 4/16,Sun 4/23,Sun 4/30","39,37,40,41,36,38","21,21,18,22,21,17",April 2017 
"Mon 3/27,Mon 4/3,Mon 4/10,Mon 4/17,Mon 4/24,Mon 5/1","40,36,40,39,36,39","19,18,18,22,20,19",April 2017 
"Tue 3/28,Tue 4/4,Tue 4/11,Tue 4/18,Tue 4/25,Tue 5/2","40,37,40,41,36,40","17,20,18,20,19,20",April 2017 
"Wed 3/29,Wed 4/5,Wed 4/12,Wed 4/19,Wed 4/26,Wed 5/3","40,37,40,39,38,36","23,18,18,18,21,23",April 2017 
"Thu 3/30,Thu 4/6,Thu 4/13,Thu 4/20,Thu 4/27,Thu 5/4","40,38,40,39,39,40","24,18,17,22,22,25",April 2017 
"Fri 3/31,Fri 4/7,Fri 4/14,Fri 4/21,Fri 4/28,Fri 5/5","40,37,41,36,38,41","22,17,19,21,20,24",April 2017 
"Sat 4/1,Sat 4/8,Sat 4/15,Sat 4/22,Sat 4/29,Sat 5/6","38,39,40,36,38,40","26,15,22,22,22,25",April 2017 
"Sun 4/30,Sun 5/7,Sun 5/14,Sun 5/21,Sun 5/28","38,38,37,37,36","17,26,22,23,24",May 2017 
"Mon 5/1,Mon 5/8,Mon 5/15,Mon 5/22,Mon 5/29","39,39,36,39,36","19,21,24,23,25",May 2017 
"Tue 5/2,Tue 5/9,Tue 5/16,Tue 5/23,Tue 5/30","40,39,37,40,33","20,24,23,25,23",May 2017 
"Wed 5/3,Wed 5/10,Wed 5/17,Wed 5/24,Wed 5/31","36,40,38,39,36","23,21,24,25,24",May 2017 
"Thu 5/4,Thu 5/11,Thu 5/18,Thu 5/25,Thu 6/1","40,40,38,37,38","25,21,24,24,25",May 2017 
"Fri 5/5,Fri 5/12,Fri 5/19,Fri 5/26,Fri 6/2","41,41,38,37,37","24,25,21,25,23",May 2017 
"Sat 5/6,Sat 5/13,Sat 5/20,Sat 5/27,Sat 6/3","40,40,38,36,37","25,23,22,24,25",May 2017 
"Sun 5/28,Sun 6/4,Sun 6/11,Sun 6/18,Sun 6/25","36,35,34,33,27","24,24,24,22,23",June 2017 
"Mon 5/29,Mon 6/5,Mon 6/12,Mon 6/19,Mon 6/26","36,36,33,32,28","25,24,24,24,23",June 2017 
"Tue 5/30,Tue 6/6,Tue 6/13,Tue 6/20,Tue 6/27","33,35,29,30,28","23,24,21,23,22",June 2017 
"Wed 5/31,Wed 6/7,Wed 6/14,Wed 6/21,Wed 6/28","36,33,32,32,28","24,24,22,24,23",June 2017 
"Thu 6/1,Thu 6/8,Thu 6/15,Thu 6/22,Thu 6/29","38,31,31,32,28","25,23,21,24,23",June 2017 
"Fri 6/2,Fri 6/9,Fri 6/16,Fri 6/23,Fri 6/30","37,33,33,31,28","23,24,21,23,22",June 2017 
"Sat 6/3,Sat 6/10,Sat 6/17,Sat 6/24,Sat 7/1","37,33,33,30,29","25,24,19,23,23",June 2017 
"Sun 6/25,Sun 7/2,Sun 7/9,Sun 7/16,Sun 7/23,Sun 7/30","27,29,30,26,26,28","23,23,22,22,23,21",July 2017 
